,baseMean,log2FoldChange,padj,seed_ortholog,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
NODE_1081_length_2380_cov_226.488172_4,553.003621040471,-2.17886516094307,1.19468503807511e-07,203124.Tery_1546,4.4600000000000004e-37,,142.0,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",2|Bacteria,L,tpr repeat,-,-,-,-,,-,Significant
NODE_25_length_67348_cov_528.525924_14,1145.57297568353,-2.17527350487061,5.88371159826413e-05,459495.SPLC1_S206010,8.23e-19,,84.7,"COG3415@1|root,COG3415@2|Bacteria,1G71U@1117|Cyanobacteria,1HDIR@1150|Oscillatoriales",1117|Cyanobacteria,L,Helix-turn-helix domain of transposase family ISL3,-,-,-,ko:K07499,,-,Significant
NODE_90_length_36425_cov_1244.434644_3,514.57826177448,-2.1735152776477,3.04381698529581e-08,203124.Tery_2466,7.390000000000001e-35,,120.0,"COG4636@1|root,COG4636@2|Bacteria",2|Bacteria,D,protein conserved in cyanobacteria,-,-,-,-,,-,Significant
NODE_13_length_80722_cov_421.801753_35,1504.19650268998,-2.16997721547135,4.08018778942162e-10,203124.Tery_3189,1.94e-52,,164.0,"2E5IP@1|root,330A2@2|Bacteria,1G9N8@1117|Cyanobacteria,1HCT6@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_106467_length_173_cov_134.771186_1,130.752259581459,-2.16928120349309,0.0002502667164092,203124.Tery_1900,1.1300000000000001e-29,,115.0,"28YIM@1|root,2ZKCJ@2|Bacteria,1GGJW@1117|Cyanobacteria",203124.Tery_1900|-,-,-,-,-,-,-,,-,Significant
NODE_71_length_41932_cov_726.651933_18,4393.82672067995,-2.16900605148282,5.78881041591801e-06,203124.Tery_1512,2.1700000000000002e-163,,473.0,"2AT80@1|root,31IQT@2|Bacteria,1G74R@1117|Cyanobacteria,1HAZ0@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_97280_length_212_cov_198.885350_1,44.4904234041363,-2.16893552515801,0.0425999550041313,203124.Tery_3869,1.09e-19,,88.6,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,,-,Significant
NODE_109057_length_152_cov_141.762887_1,170.626712946047,-2.16776058733687,0.0003375000530905,4565.Traes_6BL_B89523DF8.2,8.27e-18,53.8,82.0,"COG0542@1|root,KOG1051@2759|Eukaryota,37RK8@33090|Viridiplantae,3GD7P@35493|Streptophyta,3KQU5@4447|Liliopsida,3I8H2@38820|Poales",35493|Streptophyta,O,Belongs to the ClpA ClpB family,-,-,-,ko:K03696,ATP-dependent Clp protease ATP-binding subunit ClpC,"ko01100,map01100",Significant
NODE_486_length_7258_cov_533.633208_3,47418.3015471258,-2.16735050919722,1.52381603192788e-05,203124.Tery_2327,0.0,467.5,1243.0,"COG0003@1|root,COG0003@2|Bacteria,1G27T@1117|Cyanobacteria,1H9V1@1150|Oscillatoriales",1117|Cyanobacteria,P,TIGRFAM arsenite-activated ATPase ArsA,-,-,3.6.3.16,ko:K01551,arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-],-,Significant
NODE_46135_length_261_cov_119.033981_1,281.425367574697,-2.16156315902102,0.0133970811887668,203124.Tery_3964,2.9e-34,,130.0,"COG0823@1|root,COG1520@1|root,COG0823@2|Bacteria,COG1520@2|Bacteria,1G08F@1117|Cyanobacteria,1H8J6@1150|Oscillatoriales",1117|Cyanobacteria,Q,Domain of unknown function (DUF4347),-,-,-,-,,-,Significant
NODE_558_length_6137_cov_776.716869_2,1560.02075130097,-2.15769899905362,1.03598666442926e-08,203124.Tery_4300,2.48e-38,,127.0,"2E3AE@1|root,32Y9X@2|Bacteria,1G92H@1117|Cyanobacteria,1HDBU@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_47_length_55427_cov_444.894640_31,1429.22529823331,-2.15586826772292,2.53166176572581e-06,203124.Tery_1664,1.99e-78,,233.0,"2E4VS@1|root,32Y5D@2|Bacteria,1G988@1117|Cyanobacteria,1HD6W@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_1524_length_1596_cov_44.853342_1,40.9252992975679,-2.15495012514631,0.0314651533660533,203124.Tery_4835,1.08e-47,,155.0,"COG3385@1|root,COG3385@2|Bacteria,1G3DG@1117|Cyanobacteria,1H70Z@1150|Oscillatoriales",1117|Cyanobacteria,L,Transposase DDE domain,-,-,-,-,,-,Significant
NODE_62_length_46238_cov_699.035316_3,3011.23017131677,-2.15366753501229,7.06938026141501e-06,203124.Tery_3598,8.96e-112,50.7,323.0,"COG3415@1|root,COG3415@2|Bacteria,1G3DB@1117|Cyanobacteria,1HFBP@1150|Oscillatoriales",1117|Cyanobacteria,L,IMG reference gene,-,-,-,-,putative transposase,-,Significant
NODE_1504_length_1614_cov_504.516357_1,178.165686405048,-2.14616016741818,0.0078043436286745,63737.Npun_R4328,8.71e-06,,47.0,"COG3385@1|root,COG3385@2|Bacteria,1G3TU@1117|Cyanobacteria,1HKS7@1161|Nostocales",1117|Cyanobacteria,L,Archaeal putative transposase ISC1217,-,-,-,ko:K07495,,-,Significant
NODE_109_length_31934_cov_409.772327_6,716.887688988833,-2.14592581754944,3.3649673528456e-09,203124.Tery_2140,6.35e-56,47.6,176.0,"COG2010@1|root,COG2010@2|Bacteria,1G7SH@1117|Cyanobacteria,1HCGX@1150|Oscillatoriales",1117|Cyanobacteria,C,PFAM cytochrome c,cytM,-,-,-,cytochrome c551,-,Significant
NODE_202_length_20053_cov_446.234273_11,1682.61022981469,-2.14526865095862,1.46159121227669e-05,1173024.KI912148_gene3175,2.34e-129,78.0,383.0,"COG3596@1|root,COG3597@1|root,COG3596@2|Bacteria,COG3597@2|Bacteria,1G3RU@1117|Cyanobacteria",1117|Cyanobacteria,S,protein domain associated with,-,-,-,-,uncharacterized protein,-,Significant
NODE_18_length_76709_cov_508.527135_33,30456.1832957952,-2.14383818270549,1.28231177455214e-07,203124.Tery_0684,0.0,659.3,1034.0,"COG0364@1|root,COG0364@2|Bacteria,1G0K9@1117|Cyanobacteria,1H8E8@1150|Oscillatoriales",1117|Cyanobacteria,G,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,zwf,-,"1.1.1.363,1.1.1.49",ko:K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,ko05230,map00030,map00480,map01100,map01110,map01120,map01130,map01200,map05230",Significant
NODE_39_length_58356_cov_476.169585_22,3749.22299864892,-2.14097243938665,1.8253014224730302e-09,203124.Tery_1002,1.25e-186,,518.0,"COG2801@1|root,COG2801@2|Bacteria,1G53A@1117|Cyanobacteria,1HANV@1150|Oscillatoriales",1117|Cyanobacteria,L,Protein of unknown function (DUF1997),-,-,-,-,,-,Significant
NODE_52_length_51813_cov_688.393659_27,10191.5655268512,-2.13891330441087,1.11468555371211e-06,203124.Tery_2189,6.57e-61,93.9,187.0,"COG0762@1|root,COG0762@2|Bacteria,1G95C@1117|Cyanobacteria,1HCYD@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM YGGT family,ycf19,-,-,ko:K02221,YggT family protein,-,Significant
NODE_230_length_17201_cov_415.618745_11,4890.85876295481,-2.13704628474365,0.0081245794028879,203124.Tery_2630,3.25e-224,390.0,619.0,"COG1028@1|root,COG1028@2|Bacteria,1G02R@1117|Cyanobacteria,1H9PG@1150|Oscillatoriales",1117|Cyanobacteria,IQ,Short chain dehydrogenase,-,-,-,-,dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-],-,Significant
NODE_49_length_54842_cov_740.392776_39,8534.48524575692,-2.13693988747483,4.61166392555581e-08,203124.Tery_1141,9.22e-102,275.3,295.0,"COG0105@1|root,COG0105@2|Bacteria,1G4ZN@1117|Cyanobacteria,1HAIY@1150|Oscillatoriales",1117|Cyanobacteria,F,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate",ndk,"GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046939,GO:0055086,GO:0071704,GO:1901360",2.7.4.6,ko:K00940,nucleoside-diphosphate kinase [EC:2.7.4.6],"ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016",Significant
NODE_96_length_34966_cov_907.435250_12,16285.5304954032,-2.13589957885182,2.4783549883574e-07,203124.Tery_3162,1.45e-233,117.0,642.0,"COG0702@1|root,COG0702@2|Bacteria,1FZX7@1117|Cyanobacteria,1H7DJ@1150|Oscillatoriales",1117|Cyanobacteria,GM,PFAM NmrA-like family,ycf39,-,-,-,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],-,Significant
NODE_33_length_62040_cov_935.996967_54,2701.73530374806,-2.13388929178277,0.0002494297037879,203124.Tery_1293,1.23e-178,269.1,498.0,"COG1187@1|root,COG1187@2|Bacteria,1G1P4@1117|Cyanobacteria,1H8VZ@1150|Oscillatoriales",1117|Cyanobacteria,J,Belongs to the pseudouridine synthase RsuA family,rsuA,"GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360","5.4.99.19,5.4.99.21,5.4.99.22","ko:K06178,ko:K06182,ko:K06183",23S rRNA pseudouridine2605 synthase [EC:5.4.99.22],-,Significant
NODE_47_length_55427_cov_444.894640_34,1441.41874498527,-2.13339804369965,0.0041635657551992,203124.Tery_1662,1.5e-176,69.3,492.0,"COG0775@1|root,COG0775@2|Bacteria,1G5PC@1117|Cyanobacteria,1HAZP@1150|Oscillatoriales",1117|Cyanobacteria,F,Phosphorylase superfamily,-,-,-,-,adenosylhomocysteine nucleosidase [EC:3.2.2.9],-,Significant
NODE_7_length_88770_cov_446.852708_13,1279.5298991023,-2.13224972853621,2.44286615375266e-06,203124.Tery_0163,1.7800000000000002e-144,261.0,407.0,"COG0424@1|root,COG0424@2|Bacteria,1G2D7@1117|Cyanobacteria,1HAX0@1150|Oscillatoriales",1117|Cyanobacteria,D,Nucleotide-binding protein implicated in inhibition of septum formation,maf,-,-,ko:K06287,nucleoside triphosphate pyrophosphatase [EC:3.6.1.-],-,Significant
NODE_1260_length_1949_cov_424.326294_1,313.226880594755,-2.12486825395395,0.0001288843413939,203124.Tery_0037,1.14e-18,,77.4,"COG3335@1|root,COG3335@2|Bacteria",2|Bacteria,L,DDE superfamily endonuclease,-,-,-,ko:K07494,,-,Significant
NODE_1442_length_1687_cov_296.984069_1,1251.46508605066,-2.1193151493432,0.0142263351188129,203124.Tery_3328,7.260000000000001e-133,,381.0,"COG1100@1|root,COG1100@2|Bacteria,1G0UN@1117|Cyanobacteria,1H8TI@1150|Oscillatoriales",1117|Cyanobacteria,S,Small GTP-binding protein,-,-,-,-,,-,Significant
NODE_124_length_28816_cov_448.555544_2,2084.53288984911,-2.11555796463376,1.50383515037236e-06,203124.Tery_1786,8.64e-292,99.8,797.0,"COG1672@1|root,COG1672@2|Bacteria,1GQVH@1117|Cyanobacteria",1117|Cyanobacteria,S,AAA ATPase domain,-,-,-,-,uncharacterized protein,-,Significant
NODE_12_length_84605_cov_817.129698_30,6821.29773009806,-2.11489439270935,5.11210508640492e-08,203124.Tery_2564,4.6699999999999995e-93,72.7,272.0,"COG3682@1|root,COG3682@2|Bacteria,1G5WE@1117|Cyanobacteria,1HB1Y@1150|Oscillatoriales",1117|Cyanobacteria,K,transcriptional regulator,-,-,-,-,"BlaI family transcriptional regulator, penicillinase repressor",-,Significant
NODE_48_length_54898_cov_449.964991_28,7080.01952888085,-2.11388152252145,1.86396583129154e-07,203124.Tery_1204,3.52e-114,219.8,327.0,"28ZUD@1|root,2ZMJ2@2|Bacteria,1G5VA@1117|Cyanobacteria,1HB5U@1150|Oscillatoriales",1117|Cyanobacteria,S,"Photosystem I, reaction centre subunit XI",psaL,-,-,ko:K02699,photosystem I subunit XI,"ko00195,ko01100,map00195,map01100",Significant
NODE_435_length_8337_cov_3807.938300_3,1024602.99516753,-2.11224383277987,9.0354470739507e-07,203124.Tery_1230,4.38e-269,774.6,734.0,"2DBDB@1|root,2Z8JK@2|Bacteria,1G16D@1117|Cyanobacteria,1H912@1150|Oscillatoriales",1117|Cyanobacteria,C,"Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex",psbD,-,1.10.3.9,ko:K02706,photosystem II P680 reaction center D2 protein [EC:1.10.3.9],"ko00195,ko01100,map00195,map01100",Significant
NODE_24164_length_301_cov_303.443089_1,43.8778884843203,-2.11186741941507,0.0238509465202001,203124.Tery_3571,3.48e-50,,177.0,"COG1413@1|root,COG5635@1|root,COG1413@2|Bacteria,COG5635@2|Bacteria,1G1Y8@1117|Cyanobacteria,1H969@1150|Oscillatoriales",1117|Cyanobacteria,CT,Nacht domain,-,-,-,-,,-,Significant
NODE_48_length_54898_cov_449.964991_17,4226.0113029154,-2.10191658209575,1.5274260202253302e-15,203124.Tery_1189,4.77e-264,,729.0,"COG0206@1|root,COG0206@2|Bacteria,1G357@1117|Cyanobacteria,1HETD@1150|Oscillatoriales",1117|Cyanobacteria,D,Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity,-,-,-,-,,-,Significant
NODE_785_length_3733_cov_522.578032_1,47395.5240485865,-2.09841892144671,0.0005639889514489,203124.Tery_4971,0.0,,1361.0,"COG0084@1|root,COG1520@1|root,COG3386@1|root,COG3391@1|root,COG0084@2|Bacteria,COG1520@2|Bacteria,COG3386@2|Bacteria,COG3391@2|Bacteria",2|Bacteria,CO,amine dehydrogenase activity,tatD,"GO:0003674,GO:0003824,GO:0004518,GO:0004536,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016020,GO:0016787,GO:0016788,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0071944,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575",3.1.3.1,"ko:K01113,ko:K03424,ko:K14274",,"ko00040,ko00790,ko01100,ko02020,map00040,map00790,map01100,map02020",Significant
NODE_211_length_19130_cov_465.869934_10,1346.52551998854,-2.08974391102239,4.0795899295536005e-10,203124.Tery_2698,3.1e-45,,145.0,"2E3HR@1|root,32YG9@2|Bacteria,1G932@1117|Cyanobacteria,1HCWP@1150|Oscillatoriales",1117|Cyanobacteria,S,Protein of unknown function (DUF2839),-,-,-,-,,-,Significant
NODE_22_length_70149_cov_455.558350_4,12421.5134421891,-2.08958007326056,1.53678802079024e-06,203124.Tery_0268,4.68e-80,167.8,238.0,"COG0335@1|root,COG0335@2|Bacteria,1G5QG@1117|Cyanobacteria,1HB1N@1150|Oscillatoriales",1117|Cyanobacteria,J,This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site,rplS,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",-,ko:K02884,large subunit ribosomal protein L19,"ko03010,map03010",Significant
NODE_15_length_78850_cov_450.708205_18,8485.22275693384,-2.08762571617506,2.62020500168542e-06,203124.Tery_4732,5.97e-57,,176.0,"COG0328@1|root,COG0328@2|Bacteria,1G12J@1117|Cyanobacteria,1H7G8@1150|Oscillatoriales",1117|Cyanobacteria,L,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,rnhA,-,3.1.26.4,ko:K03469,,"ko03030,map03030",Significant
NODE_58_length_47488_cov_498.600194_10,4569.25743350996,-2.08579287336001,2.23933938057658e-13,203124.Tery_2774,0.0,335.2,964.0,"COG0612@1|root,COG0612@2|Bacteria,1G303@1117|Cyanobacteria,1H8AE@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Peptidase M16 inactive domain,ymxG,-,-,ko:K07263,zinc protease [EC:3.4.24.-],-,Significant
NODE_43_length_57505_cov_386.879339_38,3905.40820566149,-2.08316429268364,6.17017921514118e-08,203124.Tery_1455,2.13e-61,55.6,188.0,"COG3668@1|root,COG3668@2|Bacteria,1G7Z2@1117|Cyanobacteria,1HCAD@1150|Oscillatoriales",1117|Cyanobacteria,S,"ParE toxin of type II toxin-antitoxin system, parDE",-,-,-,-,toxin ParE1/3/4,-,Significant
NODE_58_length_47488_cov_498.600194_7,9947.62224974899,-2.07972863484187,2.71874953633804e-08,203124.Tery_2771,0.0,600.1,1353.0,"COG0480@1|root,COG0480@2|Bacteria,1G05X@1117|Cyanobacteria,1H7YC@1150|Oscillatoriales",1117|Cyanobacteria,J,elongation factor G domain IV,fus,-,-,ko:K02355,elongation factor G,-,Significant
NODE_99_length_34575_cov_513.990498_26,7461.29955211908,-2.07846853984518,1.59799881450012e-08,203124.Tery_2253,0.0,654.7,1045.0,"COG0119@1|root,COG0119@2|Bacteria,1G0JT@1117|Cyanobacteria,1H77Z@1150|Oscillatoriales",1117|Cyanobacteria,E,Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate),leuA,-,2.3.3.13,ko:K01649,2-isopropylmalate synthase [EC:2.3.3.13],"ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230",Significant
NODE_40_length_58312_cov_421.358189_33,4564.45993200201,-2.07610187571681,7.78675635185998e-08,203124.Tery_2661,4.35e-261,344.4,716.0,"COG0472@1|root,COG0472@2|Bacteria,1G1B9@1117|Cyanobacteria,1H8I5@1150|Oscillatoriales",1117|Cyanobacteria,M,PFAM Glycosyl transferase family 4,lim,-,"2.7.8.33,2.7.8.35",ko:K02851,UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35],-,Significant
NODE_57_length_47964_cov_1705.730614_12,296.271105027899,-2.07257828463122,9.67035431922895e-05,118168.MC7420_747,0.000148,,43.9,"COG5464@1|root,COG5464@2|Bacteria,1G211@1117|Cyanobacteria,1H8YW@1150|Oscillatoriales",1117|Cyanobacteria,S,PD-(D/E)XK nuclease family transposase,-,-,-,-,,-,Significant
NODE_49_length_54842_cov_740.392776_24,1417.92766426545,-2.07199342941034,1.03783028370301e-05,203124.Tery_1157,5.1899999999999994e-68,,206.0,"2EEGV@1|root,338AN@2|Bacteria,1G9FS@1117|Cyanobacteria,1HD9Y@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_1774_length_1374_cov_414.225171_1,28420.9807941444,-2.06820208568019,1.36815663211973e-06,203124.Tery_0116,7.549999999999999e-104,192.4,311.0,"COG0457@1|root,COG0457@2|Bacteria,1GD9U@1117|Cyanobacteria",1117|Cyanobacteria,S,PFAM TPR repeat Tetratricopeptide TPR_2,-,-,-,-,protein O-GlcNAc transferase [EC:2.4.1.255],-,Significant
NODE_14_length_80493_cov_897.301462_21,11205.7534201159,-2.0672304639478,2.78550212909285e-08,203124.Tery_3002,4.59e-80,216.2,238.0,"COG0093@1|root,COG0093@2|Bacteria,1G5R9@1117|Cyanobacteria,1HB0B@1150|Oscillatoriales",1117|Cyanobacteria,J,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,rplN,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0097159,GO:1901363,GO:1990904",-,ko:K02874,large subunit ribosomal protein L14,"ko03010,map03010",Significant
NODE_247_length_15605_cov_472.816463_8,6913.48112694192,-2.06652509714498,2.02830143709798e-06,203124.Tery_4426,2.33e-262,408.2,720.0,"COG0568@1|root,COG0568@2|Bacteria,1G2FE@1117|Cyanobacteria,1H7ED@1150|Oscillatoriales",1117|Cyanobacteria,K,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,sigE,-,-,"ko:K03086,ko:K03087",RNA polymerase primary sigma factor,"ko02026,ko05111,map02026,map05111",Significant
NODE_46_length_55696_cov_443.642674_20,2465.18530778283,-2.06136894121497,0.025431650157633,203124.Tery_1870,0.0,98.7,1040.0,"COG1502@1|root,COG1555@1|root,COG1502@2|Bacteria,COG1555@2|Bacteria,1G01I@1117|Cyanobacteria,1H79E@1150|Oscillatoriales",1117|Cyanobacteria,I,"TIGRFAM Competence protein ComEA, helix-hairpin-helix",comA,-,-,-,competence protein ComEA,-,Significant
NODE_33_length_62040_cov_935.996967_34,1496.85053916602,-2.06014196234587,0.0008327744708402,203124.Tery_1308,3.16e-180,352.5,501.0,"COG1116@1|root,COG1116@2|Bacteria,1G0ZZ@1117|Cyanobacteria,1H8I9@1150|Oscillatoriales",1117|Cyanobacteria,P,ABC-type nitrate sulfonate bicarbonate transport system ATPase component,-,-,-,"ko:K02049,ko:K15579",NitT/TauT family transport system ATP-binding protein,"ko00910,ko02010,map00910,map02010",Significant
NODE_92_length_35660_cov_473.336301_23,1716.85133918177,-2.05682582398428,3.46268559892794e-11,203124.Tery_0545,2.81e-121,,346.0,"295JR@1|root,2ZSX6@2|Bacteria,1G51T@1117|Cyanobacteria,1HAVF@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_48_length_54898_cov_449.964991_30,1755.80633755553,-2.05646709737579,1.06744165361421e-07,203124.Tery_1206,3.4e-170,266.1,475.0,"COG2045@1|root,COG2045@2|Bacteria,1G0EI@1117|Cyanobacteria,1H755@1150|Oscillatoriales",1117|Cyanobacteria,H,Belongs to the ComB family,comB,"GO:0003674,GO:0003824,GO:0016829,GO:0016830,GO:0016831,GO:0050545",3.1.3.71,ko:K05979,2-phosphosulfolactate phosphatase [EC:3.1.3.71],"ko00680,ko01120,map00680,map01120",Significant
NODE_24_length_68070_cov_475.815467_47,2443.69763496721,-2.05310935879438,3.68346702065718e-05,203124.Tery_3396,3.84e-143,,404.0,"COG4577@1|root,COG4577@2|Bacteria,1G0GA@1117|Cyanobacteria,1H73J@1150|Oscillatoriales",1117|Cyanobacteria,CQ,PFAM BMC domain,-,-,-,-,,-,Significant
NODE_2_length_141101_cov_626.108738_93,16263.9578222078,-2.05305643511192,0.0001515553044271,203124.Tery_2941,2.8799999999999997e-67,116.4,204.0,"COG0268@1|root,COG0268@2|Bacteria,1G7PV@1117|Cyanobacteria,1HC92@1150|Oscillatoriales",1117|Cyanobacteria,J,Binds directly to 16S ribosomal RNA,rpsT,-,-,ko:K02968,small subunit ribosomal protein S20,"ko03010,map03010",Significant
NODE_20_length_74601_cov_487.376372_2,1501.27787142811,-2.05253554573952,1.86013558275754e-10,203124.Tery_0713,1.38e-80,61.9,239.0,"COG0607@1|root,COG0607@2|Bacteria,1G7VW@1117|Cyanobacteria,1HBNV@1150|Oscillatoriales",1117|Cyanobacteria,P,Rhodanese-related sulfurtransferase,pspE,-,-,-,thiosulfate sulfurtransferase [EC:2.8.1.1],-,Significant
NODE_76_length_39506_cov_451.403868_21,1919.14774794279,-2.0492590839229,3.16241589636133e-05,203124.Tery_3516,1.13e-80,119.0,239.0,"COG1937@1|root,COG1937@2|Bacteria,1G6NF@1117|Cyanobacteria,1HBHM@1150|Oscillatoriales",1117|Cyanobacteria,S,"PFAM Uncharacterised BCR, COG1937",-,-,-,ko:K21600,"CsoR family transcriptional regulator, copper-sensing transcriptional repressor",-,Significant
NODE_9_length_85320_cov_628.812291_41,6730.36904624716,-2.04919964678971,9.63075596777338e-12,203124.Tery_4397,4.57e-243,374.8,667.0,"COG0484@1|root,COG0484@2|Bacteria,1FZXU@1117|Cyanobacteria,1H7QQ@1150|Oscillatoriales",1117|Cyanobacteria,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain,-,-,-,ko:K05516,curved DNA-binding protein,-,Significant
NODE_89_length_36475_cov_434.691351_2,3674.87049528988,-2.04234521089583,2.93859973468745e-07,203124.Tery_3773,6.32e-102,46.2,295.0,"COG1393@1|root,COG1393@2|Bacteria,1G68J@1117|Cyanobacteria,1HB71@1150|Oscillatoriales",1117|Cyanobacteria,P,Belongs to the ArsC family,-,-,-,-,arsenate reductase (glutaredoxin) [EC:1.20.4.1],-,Significant
NODE_76_length_39506_cov_451.403868_22,9024.55640322695,-2.04086163700204,3.02877735458107e-07,203124.Tery_3517,3.08e-284,336.2,777.0,"COG0265@1|root,COG0265@2|Bacteria,1G17C@1117|Cyanobacteria,1H723@1150|Oscillatoriales",1117|Cyanobacteria,O,PDZ domain (Also known as DHR or GLGF),hhoA,"GO:0003674,GO:0005488,GO:0005515,GO:0042802",-,-,serine protease DegQ [EC:3.4.21.-],-,Significant
NODE_7_length_88770_cov_446.852708_19,10008.1954455359,-2.03841686392843,2.52461861959203e-07,203124.Tery_0157,9.640000000000001e-222,511.8,612.0,"COG0142@1|root,COG0142@2|Bacteria,1G0V7@1117|Cyanobacteria,1H72T@1150|Oscillatoriales",1117|Cyanobacteria,H,Belongs to the FPP GGPP synthase family,sds,-,"2.5.1.84,2.5.1.85",ko:K05356,all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85],"ko00900,ko01110,map00900,map01110",Significant
